Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	pi_alpha[1]	pi_alpha[2]	pi_alpha[3]	pinvar[1]	pinvar[2]	pinvar[3]	TL
0	-26112.76	-26054.04	-58.72215	4.75095e+07	1.36661e+07	5.81056e+06	0.00378694	0.347811	0.0551323	0.0448382	0.0487223	0.0415919	0.0325886	0.111413	0.0420794	0.135881	0.0476296	0.146469	0.0867096	0.0380884	0.0283673	0.0824923	0.408499	0.0643515	0.0120197	0.110704	0.0343686	0.0464956	0.0104367	0.357503	0.0158887	0.0046707	0.262171	0.313453	0.12522	0.0917877	0.089033	0.035804	0.0308664	0.239487	0.0368583	0.246529	0.00391068	0.310182	0.0269258	0.0144378	0.158788	0.0833105	0.040031	0.0663797	0.124674	0.538323	42.2401	30.7691	0.531344	0.257016	0.211639	0.292974	0.234065	2.83845	0.519896	0.433106	0.549657	4.658387
10	-23527.93	-23474	-53.93007	5.05207e+07	1.68155e+07	6.82292e+06	0.0132169	0.184383	0.147977	0.0783877	0.0635496	0.0833118	0.115242	0.191275	0.0268384	0.104441	0.0899032	0.120358	0.222358	0.119395	0.0311982	0.126873	0.158537	0.0458601	0.0863166	0.277035	0.00753065	0.0751466	0.0159996	0.222726	0.00489625	0.00962005	0.0644964	0.107735	0.134533	0.0505673	0.11232	0.0294124	0.012135	0.326179	0.0635588	0.0713889	0.00187662	0.171156	0.108828	0.0253985	0.091623	0.0670052	0.040217	0.104737	0.114246	0.323984	36.2912	66.7893	0.319784	0.220819	0.459397	0.44373	0.161803	1.10542	0.570416	0.332543	0.590923	4.319791
20	-20829.78	-20640.14	-189.6452	5.38716e+07	1.49327e+07	4.1804e+06	0.0944707	0.190298	0.125364	0.189566	0.0649982	0.0655233	0.0821549	0.171802	0.0402834	0.0302683	0.140239	0.113702	0.205844	0.200474	0.0824794	0.230109	0.124048	0.0348972	0.0649886	0.339396	0.0146144	0.090929	0.0341577	0.255946	0.0125848	0.00764108	0.04105	0.0298398	0.0717995	0.0303177	0.0763488	0.104508	0.00776119	0.117385	0.0611509	0.0401494	0.00580506	0.0240465	0.15034	0.00108614	0.0793107	0.0105931	0.0503089	0.0335107	0.0695292	0.192754	116.927	14.2888	0.190256	0.711462	0.0982826	0.362054	0.111302	0.659863	1.1226e-07	0.316503	0.459688	4.011619
30	-20084.02	-19897.88	-186.14	4.63035e+07	1.06942e+07	5.34288e+06	0.129242	0.176519	0.130228	0.251068	0.077411	0.0445223	0.105222	0.107955	0.0633338	0.0198645	0.1539	0.128442	0.189135	0.242788	0.0924376	0.268616	0.154867	0.0682416	0.0682751	0.201584	0.0174664	0.090929	0.139227	0.244786	0.019126	0.0117506	0.0403932	0.0156462	0.0509886	0.00662122	0.0409301	0.103097	0.0042507	0.0649804	0.021362	0.00536898	0.0185049	0.00315163	0.0870279	0.00145573	0.0739467	0.0126976	0.0534547	0.0244677	0.0667792	0.0736895	81.8115	62.4385	0.0727343	0.497795	0.429471	0.254636	0.0998732	0.739345	1.1226e-07	0.397884	0.444638	3.892062
40	-19549.87	-19366.99	-182.8778	6.76099e+07	9.7213e+06	5.86502e+06	0.125501	0.157877	0.125141	0.150588	0.0696819	0.0519523	0.0970673	0.0887517	0.0395518	0.0109338	0.155159	0.10725	0.169119	0.235742	0.0780635	0.225528	0.13038	0.0727984	0.0682751	0.0488477	0.0227652	0.14398	0.244991	0.198463	0.111742	0.0116611	0.0113591	0.00606646	0.0369994	0.00440041	0.0188079	0.0648761	0.00996975	0.0170926	0.0389865	0.0169701	0.0645496	0.0042139	0.0214864	0.00367777	0.0460713	0.0133973	0.0594904	0.025568	0.0142492	0.0727618	81.1517	63.1553	0.0718186	0.49378	0.434401	0.2239	0.117724	0.807523	1.1226e-07	0.307612	0.399528	3.420043
50	-19170.79	-18984.7	-186.0811	6.16467e+07	9.74499e+06	5.29143e+06	0.151012	0.157877	0.108424	0.175331	0.0820004	0.058368	0.0952883	0.094399	0.0575333	0.00993435	0.116387	0.0866488	0.201748	0.281165	0.0878087	0.225528	0.144014	0.0769435	0.101835	0.0343296	0.0237677	0.122056	0.227834	0.215605	0.111742	0.012981	0.0111662	0.00647558	0.0400695	0.0125574	0.00936277	0.0179353	0.0108906	0.0191353	0.103765	0.00777066	0.0719965	0.00777753	0.0121785	0.00372892	0.0603798	0.00833342	0.0413125	0.0248044	0.0138517	0.0549785	59.023	85.2825	0.0542659	0.359135	0.5866	0.2239	0.122098	0.71355	1.1226e-07	0.339723	0.575149	3.54405
60	-19164.11	-18973.72	-190.3913	8.95383e+07	9.22132e+06	6.41627e+06	0.156386	0.145111	0.100587	0.227503	0.0831059	0.0524337	0.0913034	0.0975026	0.0469249	0.0158041	0.10925	0.085416	0.183139	0.264159	0.0946906	0.232971	0.123353	0.0815741	0.0735253	0.0466015	0.0198509	0.126778	0.20952	0.193668	0.138968	0.0185941	0.0163336	0.0173714	0.0532071	0.0140338	0.00527404	0.0225483	0.0160073	0.0169793	0.112926	0.0106371	0.0746815	0.00735177	0.0158402	0.00252605	0.0589004	0.00473066	0.066598	0.0326705	0.0236441	0.0473709	56.7764	88.3616	0.0467568	0.345465	0.607779	0.218574	0.143316	1.1462	1.1226e-07	0.496991	0.226391	3.59098
70	-19153.42	-18965.65	-187.7613	9.90594e+07	8.79348e+06	8.67766e+06	0.162018	0.171568	0.117801	0.21344	0.0716248	0.0670896	0.0945751	0.106914	0.0404081	0.01531	0.125295	0.0833635	0.219866	0.228373	0.0983292	0.237135	0.128443	0.0803403	0.0780819	0.0379703	0.0246484	0.12281	0.237088	0.214668	0.136537	0.0134832	0.0207516	0.0213099	0.0522971	0.0178076	0.00742591	0.014746	0.00733536	0.0225906	0.112926	0.0169379	0.0822612	0.00641101	0.0022233	0.000950788	0.0648888	0.00448215	0.0591607	0.0210815	0.0230024	0.0469423	76.115	71.3159	0.0463338	0.463134	0.490533	0.218574	0.10244	0.829137	1.1226e-07	0.54612	0.379999	3.685769
80	-19148.51	-18959.33	-189.177	9.74241e+07	1.05711e+07	8.90502e+06	0.184117	0.130306	0.115266	0.21344	0.0862575	0.0626684	0.0943631	0.0963961	0.0482379	0.0269617	0.101692	0.109433	0.169495	0.249803	0.0944549	0.237135	0.126876	0.0769371	0.0780819	0.0603142	0.0275542	0.128824	0.226611	0.206313	0.119107	0.0193409	0.0195476	0.0302942	0.046951	0.0224579	0.00556761	0.0253753	0.00681359	0.0180981	0.126611	0.00977546	0.06028	0.00556269	0.00574106	0.000933532	0.061879	0.00576788	0.0492613	0.0256545	0.0269334	0.0384174	92.1384	58.3646	0.0379194	0.560631	0.40145	0.209996	0.133498	0.678893	1.1226e-07	0.364254	0.498349	3.643492
90	-19148.01	-18958.76	-189.2571	9.48113e+07	1.07994e+07	6.65429e+06	0.178748	0.141932	0.124428	0.194576	0.0862575	0.0518581	0.0943248	0.104376	0.0533749	0.0151939	0.146063	0.114707	0.215133	0.256694	0.0925525	0.233107	0.149142	0.0696639	0.0684917	0.0498783	0.0216789	0.128824	0.20314	0.247674	0.110481	0.023788	0.0161666	0.0249746	0.0560515	0.019895	0.00825692	0.0143225	0.0109026	0.0167489	0.1073	0.0195703	0.0562942	0.00567643	0.00607263	0.000916422	0.066929	0.00359334	0.0441343	0.0381973	0.0143862	0.0403887	88.7198	61.1059	0.0398652	0.53983	0.420305	0.209996	0.0950863	0.885583	1.1226e-07	0.384444	0.49753	3.706477
