Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	pi_alpha	pis[1]	pis[2]	pis[3]	pis[4]	TL
0	-24664.32	-24670.13	5.810593	0.0642621	0.0276535	0.136648	0.0125205	0.190613	0.149209	0.147857	0.0301199	0.0189278	0.0850394	0.0415349	0.114962	0.117227	0.0132357	0.0468688	0.0315616	0.125766	0.164298	0.109338	0.0706741	0.103088	0.109454	0.011929	0.0505891	0.0186168	0.0889519	0.105817	0.0878865	0.177722	0.0205711	0.0705871	0.0395582	0.0413398	0.0275989	0.0773595	0.0467477	0.17067	0.00945882	0.168154	0.0481448	0.00101223	0.0232275	0.0913118	0.208326	0.10095	0.234987	0.0073602	0.219868	0.780132	0.99264	3.59739
10	-21889.5	-21906.81	17.31331	0.0599841	0.0609765	0.0822191	0.024056	0.0780868	0.0921189	0.0895497	0.0370719	0.0970878	0.12559	0.0148644	0.0791074	0.0681085	0.0787251	0.010517	0.0830199	0.0586895	0.0746215	0.0710853	0.0198794	0.0348538	0.056475	0.0397344	0.104817	0.00358444	0.0254413	0.0587449	0.0318947	0.0667076	0.0123588	0.0746372	0.0493505	0.0229284	0.0163138	0.0263506	0.0167458	0.10037	0.0106911	0.0943003	0.0210708	0.00107851	0.0409535	0.0270683	0.152767	0.0421516	0.3386756	0.0218806	0.267819	0.732181	0.978119	2.436749
20	-20509.4	-20535.6	26.20473	0.0501876	0.0529976	0.0515816	0.0637621	0.0285196	0.051797	0.0310681	0.0326247	0.0594984	0.0777286	0.0290343	0.0551638	0.0519728	0.0585739	0.0105547	0.0671556	0.0377212	0.0522903	0.0465214	0.0127861	0.00437098	0.0515121	0.0832405	0.106179	0.0010559	0.0186608	0.0198885	0.0193887	0.00633778	0.00558017	0.0594016	0.0295756	0.0104819	0.00886977	0.0239441	0.00358635	0.0635449	0.00527914	0.0366493	0.0108241	0.000749852	0.0215808	0.0061173	0.0210504	0.0133051	0.287618	0.0140613	0.246738	0.753262	0.985939	1.552713
30	-19738.98	-19771.23	32.24675	0.0456658	0.0404171	0.0340864	0.0498435	0.0121528	0.0205199	0.0198764	0.0222927	0.0136422	0.0292704	0.0276421	0.0214761	0.0357426	0.0481807	0.0179953	0.0619405	0.0308365	0.0222109	0.0231374	0.0107626	0.00174047	0.0239847	0.0463103	0.0528545	0.000779076	0.00430404	0.0122359	0.0174848	0.00242649	0.00245665	0.0380203	0.0217306	0.0182199	0.00290655	0.00523643	0.00576228	0.0429203	0.00306761	0.0247388	0.00163542	0.00100768	0.00515705	0.00269248	0.00696172	0.00872497	0.3622179	0.0257672	0.276215	0.723785	0.974233	0.9410507
40	-19265.58	-19301.52	35.93659	0.023544	0.0256143	0.0175491	0.0318937	0.0115073	0.00732996	0.0162239	0.0191594	0.00882403	0.0109519	0.02097	0.0205471	0.0265888	0.0362515	0.013146	0.0313433	0.0221393	0.0107788	0.0107943	0.00797968	0.00401636	0.019403	0.0301454	0.030467	0.000580871	0.00204125	0.00818588	0.0100603	0.000840936	0.000573151	0.0194425	0.00843194	0.00782348	0.00292364	0.00406786	0.00108951	0.0186664	0.00299612	0.0107348	0.00135827	0.00052095	0.00347426	0.00477503	0.00278047	0.00492167	0.3483146	0.0234553	0.271348	0.728652	0.976545	0.5734576
50	-19096.93	-19134.04	37.11508	0.0228066	0.0192763	0.013551	0.0264446	0.00929001	0.00780326	0.0130515	0.0145929	0.00694278	0.00649648	0.0155817	0.0125296	0.0263264	0.0256732	0.00989601	0.0313433	0.0157888	0.00800291	0.0103564	0.00483051	0.00320354	0.0152928	0.0253414	0.0236098	0.000816079	0.00223569	0.00551236	0.00759854	0.00118706	0.000557655	0.0168211	0.00289494	0.00840016	0.00228229	0.00285255	0.00124413	0.0143916	0.00334922	0.00615567	0.00123541	0.000277385	0.00260597	0.00284273	0.00237394	0.00402725	0.3274616	0.0200819	0.263546	0.736454	0.979918	0.4576936
60	-19008.49	-19046.2	37.70359	0.0206288	0.0183041	0.0138709	0.0190193	0.00888494	0.00705547	0.0101721	0.0102875	0.0051807	0.00304922	0.012536	0.0117659	0.0185393	0.0253921	0.00850366	0.0196015	0.016955	0.00894523	0.00942396	0.00587015	0.00217461	0.0128298	0.0219911	0.0243204	0.000517114	0.00279957	0.00674529	0.00757833	0.000916849	0.000511249	0.015613	0.00090032	0.00592334	0.00206215	0.00270668	0.000912714	0.0143916	0.00421091	0.00639112	0.0024225	0.00025874	0.00260597	0.00370083	0.00335141	0.00274313	0.2902437	0.014437	0.247931	0.752069	0.985563	0.4025648
70	-18966.24	-19004.27	38.02362	0.0170099	0.0156331	0.0143864	0.0201845	0.00744508	0.00575981	0.0096184	0.00911414	0.0053481	0.0017933	0.011776	0.010926	0.0206076	0.0226732	0.00927011	0.0243388	0.0129933	0.00714504	0.00655935	0.0045083	0.00216458	0.013754	0.0219911	0.0221521	0.000323283	0.00198794	0.0048092	0.00831929	0.00122428	0.000896896	0.013748	0.000522235	0.00552534	0.00336935	0.000859168	0.00065723	0.00973522	0.00283463	0.00613443	0.00147812	0.000488509	0.00194763	0.00234809	0.00222752	0.00397303	0.2902437	0.014437	0.247931	0.752069	0.985563	0.3705617
80	-18893.23	-18931.95	38.71881	0.0134489	0.0114996	0.00849514	0.0168	0.00649517	0.00362359	0.0078713	0.00861845	0.00373164	0.00194462	0.0087885	0.010051	0.015019	0.0224972	0.00675085	0.0174195	0.0116094	0.00580027	0.00655935	0.00301708	0.00237159	0.0145381	0.0183103	0.0188902	0.000657834	0.00212581	0.00364423	0.00549673	0.000456227	0.00039279	0.0114189	0.00080068	0.00397423	0.00243515	0.000590463	0.000316867	0.0107659	0.0018026	0.00479766	0.00117961	0.000652872	0.00162279	0.00215401	0.00234668	0.00320402	0.2507962	0.00918843	0.228573	0.771428	0.990811	0.3049868
90	-18863.82	-18903.02	39.20633	0.0103999	0.0105874	0.00727162	0.0158161	0.00592467	0.00514048	0.0067641	0.00559445	0.00390255	0.00136396	0.00883359	0.00790526	0.0111396	0.0160246	0.00646661	0.0174195	0.00926461	0.00551065	0.00640153	0.00282875	0.00204709	0.00855262	0.0148497	0.0161268	0.000178328	0.00120583	0.00282791	0.00541458	0.000245125	0.000729324	0.00921371	0.000978263	0.00256068	0.00136744	0.000684097	0.000432722	0.0107659	0.00118266	0.00546651	0.001166	0.000584181	0.00167278	0.00130928	0.00211355	0.00212949	0.2295012	0.00676826	0.216708	0.783292	0.993232	0.2583645
