Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_alpha	pinvar	pis[1]	pis[2]	pis[3]	pis[4]	TL
0	-26114.81	-26073.98	-40.82676	6.877053e+07	0.473152	0.0944657	0.22741	0.0678067	0.430379	0.0318699	0.0358368	0.0130061	3.72108e-06	0.133231	0.063406	0.0166093	0.018991	0.0523951	0.0608458	0.462467	0.228837	0.100947	0.0261236	0.414972	0.199556	0.0247041	0.120322	0.576631	0.0977371	0.100783	0.0307693	0.414574	0.306829	0.148076	0.196656	0.087813	0.0161587	0.135396	0.0930019	0.177043	0.399123	0.0176892	0.0736715	0.00710019	0.0344636	0.0284132	0.0369364	0.0805269	0.145414	0.999847	0.999961	1.00004	1.00015	0.5952903	0.5435103	0.0663035	0.331427	0.668573	0.933696	6.502143
10	-23422.26	-23338.39	-83.86617	5.860277e+07	0.266454	0.13952	0.179848	0.139103	0.167364	0.0680501	0.0475305	0.0599723	6.69242e-06	0.317547	0.05276	0.0284466	0.0224799	0.075695	0.0488563	0.255297	0.0548975	0.0709237	0.0249283	0.0866991	0.415567	0.0372511	0.303147	0.472727	0.0661256	0.0546773	0.0240328	0.160008	0.20658	0.105919	0.107854	0.0654084	0.0042938	0.0347884	0.0721362	0.0894141	0.118058	0.0692671	0.07605	0.00399559	0.0218563	0.0148217	0.0146744	0.0789998	0.0612204	0.999834	0.999958	1.00004	1.00017	0.4210753	0.0003027016	0.0359138	0.2943	0.7057	0.964086	4.785253
20	-21597.07	-21548.36	-48.70563	6.495891e+07	0.0889764	0.052217	0.0387973	0.0802315	0.0579037	0.0348203	0.0175107	0.0511372	8.449e-06	0.18073	0.057364	0.0392656	0.035216	0.0787264	0.0249832	0.0877613	0.0455873	0.0426742	0.0177429	0.0386	0.269339	0.049805	0.129359	0.0896496	0.0443225	0.0106999	0.00644103	0.0533133	0.0709969	0.0899978	0.0353497	0.0408285	0.00780537	0.0175915	0.0389584	0.0264263	0.0610652	0.0368236	0.0490835	0.00466896	0.0400827	0.0035206	0.0212636	0.0216517	0.0156763	0.999842	0.99996	1.00004	1.00016	0.3444438	0.0009493141	0.02282	0.269946	0.730054	0.97718	2.304973
30	-20612.66	-20572.45	-40.20402	6.896007e+07	0.0529137	0.0416201	0.0425836	0.0676047	0.0249237	0.0210926	0.0193184	0.0440615	4.67506e-06	0.0420852	0.0275152	0.040352	0.0433727	0.0826073	0.0142287	0.0661335	0.0338449	0.0343358	0.0241314	0.0358643	0.117851	0.0292623	0.08982	0.0855535	0.0406517	0.00444943	0.00281549	0.0286464	0.0143141	0.0692243	0.0304977	0.0176287	0.0109297	0.00981682	0.0169737	0.00581846	0.0238473	0.0179041	0.0152763	0.00484519	0.0234971	0.00176421	0.0139131	0.015788	0.00873637	0.999847	0.999961	1.00004	1.00015	0.3083699	0.0009493141	0.017117	0.255826	0.744174	0.982883	1.458419
40	-19707.39	-19672.96	-34.42289	9.40683e+07	0.0299819	0.0355062	0.0265682	0.0447037	0.0145775	0.0113041	0.0197479	0.0203027	1.36951e-05	0.0175217	0.0198563	0.0301071	0.0397093	0.0645095	0.0178382	0.0551258	0.0329782	0.0284556	0.0162091	0.00999828	0.0100473	0.0285197	0.0395618	0.0549329	0.0321169	0.00211154	0.001175	0.0145188	0.00205057	0.0370065	0.0236101	0.00745501	0.00839042	0.0064524	0.00188447	0.00420844	0.00613214	0.0186089	0.00333987	0.00276847	0.0117983	0.00137533	0.00645637	0.00899308	0.00715149	0.999869	0.999966	1.00003	1.00013	0.3546247	0.0009493141	0.0244991	0.273588	0.726412	0.975501	0.8756806
50	-19326.06	-19294.85	-31.2106	8.603127e+07	0.0258618	0.021783	0.0149572	0.0366515	0.0127467	0.00784536	0.0133466	0.0124862	1.61364e-05	0.00403199	0.0153086	0.016173	0.0263833	0.0363128	0.0130557	0.0366422	0.0175164	0.0175801	0.00913845	0.00952279	0.00304613	0.019719	0.0364678	0.0370511	0.0195873	0.00207792	0.000900057	0.00371611	0.00272842	0.0123917	0.0165471	0.005523	0.00828139	0.0026126	0.00106947	0.00219944	0.00235635	0.010752	0.000287609	0.00290173	0.00765908	0.000516456	0.00280483	0.00743657	0.00396401	0.999863	0.999965	1.00004	1.00014	0.2995681	0.0009493141	0.0157976	0.252065	0.747936	0.984202	0.559957
60	-19188.84	-19109.25	-79.58965	8.281502e+07	0.0205201	0.0134675	0.012214	0.0268223	0.00993092	0.00787529	0.00887399	0.0124862	2.72898e-05	0.00174164	0.0117474	0.0104395	0.0191139	0.0267359	0.0101225	0.0257227	0.0159599	0.0175801	0.00927567	0.00856879	0.00310767	0.0108875	0.0224673	0.0268262	0.0195873	0.00127755	0.000255543	0.00151943	0.00284647	0.0120299	0.0127084	0.00333635	0.0032224	0.00130889	0.000433951	0.00188556	0.00113701	0.00752717	0.000336312	0.00108048	0.0048367	0.000842367	0.00159738	0.0040821	0.00443791	0.99986	0.999964	1.00004	1.00014	0.2700015	3.740507e-06	0.0116322	0.238395	0.761605	0.988368	0.4188035
70	-19098.57	-19019.66	-78.90502	9.29774e+07	0.0157193	0.0131147	0.012214	0.0174288	0.00795447	0.00652084	0.00894995	0.00979333	6.35435e-05	0.00192456	0.0097992	0.00905054	0.0183289	0.0272727	0.00853615	0.022555	0.0130835	0.0101868	0.00781236	0.00354073	0.00226701	0.0119181	0.0209081	0.0223644	0.0117398	0.00187912	7.88756e-05	0.00088027	0.00399504	0.0100258	0.00950516	0.00279482	0.00216818	0.00121202	0.00111332	0.0021593	0.000444061	0.00538278	0.00044026	0.00159214	0.00434411	0.001026	0.00191167	0.00332848	0.00301226	0.999868	0.999965	1.00003	1.00013	0.2700015	3.740507e-06	0.0116322	0.238395	0.761605	0.988368	0.3503404
80	-18967.58	-18889.5	-78.07519	9.21025e+07	0.0113861	0.0116796	0.00722104	0.0157114	0.00550472	0.00424149	0.0054817	0.00614088	0.000164527	0.0014421	0.00796333	0.00614211	0.0147648	0.0187961	0.00684354	0.0204311	0.00912898	0.00834702	0.00590611	0.00284143	0.00180153	0.00710307	0.0175914	0.0146897	0.0126681	0.00156684	5.43054e-05	0.000441277	0.000852101	0.00852019	0.00582975	0.00163263	0.00214657	0.00121773	0.000450485	0.00166277	0.000676118	0.00536162	0.000618696	0.00173998	0.00558025	0.000359934	0.00260271	0.00200633	0.00348829	0.999867	0.999966	1.00003	1.00013	0.2355751	3.740507e-06	0.00742499	0.220202	0.779798	0.992575	0.2708005
90	-18924.46	-18846.7	-77.76153	7.081853e+07	0.0113788	0.010995	0.00695515	0.0133888	0.00491691	0.0032175	0.00704798	0.00686009	0.000431353	0.0013059	0.00668361	0.00586065	0.0147648	0.0164191	0.0056493	0.0155782	0.0088994	0.0065219	0.00507187	0.00290577	0.00183135	0.00724655	0.0161935	0.017135	0.0065966	0.000917171	6.84591e-05	0.000669524	0.000947688	0.0076735	0.0048677	0.00196894	0.00154911	0.000908107	0.000165193	0.000819629	0.000630105	0.00362713	0.000929389	0.00119144	0.0030284	0.000286248	0.00188984	0.000724464	0.00268973	0.999849	0.999961	1.00004	1.00015	0.2358523	3.740507e-06	0.00745563	0.220359	0.779641	0.992544	0.2394069
100	-18885.29	-18807.57	-77.71733	5.200955e+07	0.00975813	0.00951267	0.00675638	0.0143602	0.00445099	0.0037609	0.00713746	0.00565447	0.00320423	0.00104342	0.00782408	0.00590727	0.0120353	0.016153	0.00639117	0.0149571	0.00989219	0.00581767	0.00385876	0.00200674	0.00113609	0.00777557	0.0148362	0.0133528	0.00812416	0.000898511	5.22939e-05	0.00065807	0.00119889	0.00738358	0.00487209	0.00199183	0.0013351	0.000886363	0.000288596	0.00119906	0.00059647	0.00395654	0.00132037	0.00124235	0.00410554	0.000680486	0.00204287	0.00106974	0.00350065	0.999824	0.999954	1.00005	1.00018	0.2358523	3.740507e-06	0.00745563	0.220359	0.779641	0.992544	0.2349864
