Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-66485	-66471.86	-13.14405	9.779338e+07	0.116992	0.276721	0.0206998	0.0244835	0.0236656	0.0181912	0.093655	0.430915	0.0333497	0.0698486	0.020245	0.0808928	0.278868	0.00770949	0.0451676	0.00525494	0.134103	0.0100243	0.00936438	0.177769	0.0397532	0.0797696	0.162565	0.125081	0.126687	0.10932	0.060694	0.0506055	0.100831	0.12809	0.00249087	0.0913138	0.026592	0.0822389	0.220119	0.149047	0.508155	0.119077	0.0591277	0.0861046	0.0882566	0.0526346	0.0340558	0.0484119	0.0121389	0.130099	0.228972	0.0657668	0.0172111	0.463259	0.0946916	0.999871	0.999968	1.00003	1.00013	0.08575	0.0944736	0.254288	0.565488	0.43143	4.44108
10	-28850.16	-28800.43	-49.72918	9.035743e+07	0.0820326	0.0756301	0.0270519	0.0972493	0.047864	0.067712	0.0679761	0.0996742	0.0350607	0.0232749	0.049629	0.099159	0.097548	0.00770949	0.0742534	0.0156374	0.0924396	0.0347641	0.0439862	0.0268265	0.0175876	0.133671	0.162565	0.0990369	0.0277357	0.0502111	0.00655826	0.0104425	0.0217139	0.0554317	0.000640209	0.0117651	0.00493183	0.031493	0.126987	0.0834161	0.0388406	0.0312015	0.0420107	0.027598	0.0134371	0.00613401	0.0109719	0.0300381	0.0124171	0.181193	0.0273682	0.00906057	0.0157561	0.72755	0.0390729	0.999867	0.999966	1.00003	1.00013	0.165944	0.248552	0.274146	0.311358	0.0003579085	2.222313
20	-22504.29	-22464.75	-39.54398	9.563765e+07	0.0512069	0.0417193	0.0435459	0.0760925	0.0244881	0.0414873	0.0499531	0.0654676	0.01415	0.011775	0.0276307	0.0377452	0.038278	0.0150724	0.042702	0.0371994	0.034678	0.0225026	0.0263983	0.0172695	0.0112256	0.0918095	0.0389888	0.0708036	0.00591561	0.0243394	0.00174529	0.00381384	0.0085655	0.0253405	0.000841842	0.00743047	0.00107162	0.0323604	0.0318714	0.0475939	0.00298127	0.0133348	0.0063492	0.0197868	0.00632279	0.00207654	0.00306799	0.0211702	0.00562478	0.623202	0.0202458	0.012941	0.022504	0.280567	0.0405402	0.99987	0.999967	1.00003	1.00013	0.335232	0.293235	0.178361	0.193172	0.0003579085	1.203793
30	-19858.6	-19822.54	-36.05679	8.916487e+07	0.0298789	0.035702	0.0350839	0.0381849	0.0182191	0.0303602	0.0358657	0.0326385	0.0150771	0.00484921	0.0272652	0.0279156	0.0357876	0.0445953	0.0202666	0.0488306	0.0305933	0.0150899	0.0158923	0.0108144	0.00957311	0.030511	0.0487478	0.0705971	0.00851514	0.0140967	0.00123145	0.00410606	0.00381455	0.0121406	0.000957139	0.00680698	0.00311757	0.0202731	0.0131473	0.0213205	0.00255674	0.00626875	0.00458164	0.00486431	0.00447447	0.000668209	0.00224081	0.00431913	0.00323443	0.720347	0.00801315	0.0148409	0.0156189	0.21288	0.0282998	0.999865	0.999966	1.00003	1.00013	0.542128	0.29644	0.0596662	0.101766	0.0003579085	0.8550751
40	-18895.05	-18859.62	-35.43359	9.712939e+07	0.0370377	0.034029	0.0234376	0.044188	0.0186874	0.0267887	0.0207858	0.0267821	0.0141982	0.00664667	0.0272652	0.0293684	0.0305857	0.0433055	0.0205611	0.0427389	0.0360276	0.0176067	0.0169317	0.00981372	0.00725534	0.0278514	0.0390556	0.0404571	0.00699908	0.0165172	0.000313482	0.00472903	0.0045051	0.00360626	0.00145037	0.00250503	0.0120957	0.0237396	0.0122833	0.0258468	0.00209076	0.00908906	0.00372452	0.00253279	0.00389511	0.00140689	0.00383626	0.00344395	0.00673933	0.91063	0.00493059	0.00245523	0.00754226	0.0635695	0.0108719	0.999871	0.999967	1.00003	1.00013	0.662405	0.24055	0.0436516	0.0533934	0.0003579085	0.7927548
50	-17353.63	-17316.06	-37.57012	7.39372e+07	0.0448714	0.0433282	0.0334759	0.0485033	0.0187474	0.0174893	0.0262018	0.0286907	0.012765	0.00545879	0.0272652	0.0371917	0.0453269	0.0757957	0.0267517	0.0643323	0.0381834	0.0222246	0.0195469	0.00947402	0.00767461	0.0277806	0.051984	0.0523328	0.016944	0.0188609	0.000274724	0.00613259	0.0045051	0.00386692	0.000617642	0.00550049	0.0233661	0.030165	0.0164136	0.0340866	0.00253948	0.0103245	0.00518711	0.00263286	0.00830006	0.00127699	0.0100315	0.00789503	0.0120903	0.953178	0.00221836	0.00121434	0.00158659	0.0265523	0.0152506	0.999852	0.999961	1.00004	1.00015	0.872968	0.0823123	0.0136441	0.0310756	0.0003579085	1.006408
60	-16621.63	-16584.25	-37.38223	5.899506e+07	0.0342184	0.0460642	0.0220911	0.0623367	0.019895	0.00856015	0.0224565	0.018074	0.0095646	0.00439589	0.0215647	0.0276383	0.0500828	0.0748762	0.01154	0.0813938	0.0337642	0.0128538	0.0186923	0.00875017	0.00427148	0.0261042	0.0743237	0.0711703	0.0206938	0.0188609	0.000207581	0.00248298	0.00414695	0.00415686	0.00222901	0.00193186	0.0116647	0.0443796	0.0228886	0.0263475	0.00320461	0.0029702	0.00353163	0.00211715	0.00819626	0.00120936	0.0161138	0.0142588	0.0113442	0.990215	0.000367021	0.000191901	0.000816091	0.00710204	0.00130788	0.999835	0.999958	1.00004	1.00017	0.939525	0.0296689	0.00930502	0.0215011	0.0003579085	0.987619
70	-16425.5	-16390.46	-35.04202	7.747142e+07	0.0236887	0.0277525	0.0183436	0.0472655	0.0154898	0.00890577	0.0126993	0.0138293	0.00600363	0.00259116	0.0212975	0.0163272	0.0430236	0.0686142	0.00810312	0.060888	0.0260678	0.0107832	0.0126263	0.00643952	0.00534368	0.0200312	0.0475888	0.0298163	0.0116432	0.00885778	0.0011302	0.00577256	0.00342787	0.000775821	0.000718778	0.002278	0.0103642	0.0341842	0.016662	0.0272245	0.00443522	0.00193373	0.00230912	0.00220102	0.00300908	0.00143848	0.0252808	0.0289841	0.00744753	0.988585	0.000424114	0.000141771	0.00154036	0.00729158	0.00201671	0.999856	0.999963	1.00004	1.00014	0.950819	0.0241168	0.00330489	0.0217595	0.0003579085	0.7535981
80	-16288.13	-16254.45	-33.67926	8.967888e+07	0.0164745	0.0276383	0.0118461	0.0372563	0.00929739	0.00696376	0.0112964	0.0105482	0.00376206	0.00204587	0.0143341	0.0102438	0.0164712	0.058914	0.00865323	0.0399506	0.0197215	0.0107052	0.00947585	0.00484609	0.00293783	0.0180904	0.0382953	0.0330476	0.0151227	0.00909756	0.00355097	0.00469202	0.00492398	0.000816609	0.000959703	0.000985227	0.00789068	0.029867	0.0235475	0.0163701	0.00246632	0.00220727	0.00206138	0.00251554	0.00357669	0.00213604	0.0138415	0.028197	0.0196808	0.988844	0.000380304	0.000126143	0.00264694	0.00632979	0.00167296	0.999866	0.999966	1.00003	1.00013	0.957668	0.0189981	0.00240397	0.0209303	0.0003579085	0.6173223
90	-16263.12	-16229.65	-33.46355	8.820233e+07	0.017315	0.0225087	0.0148686	0.0437895	0.0073647	0.005959	0.00675932	0.0103555	0.00318018	0.00160057	0.0150762	0.00669437	0.0327439	0.0506171	0.00837012	0.0404942	0.0197215	0.0117602	0.00847991	0.00422389	0.00216749	0.014597	0.0378563	0.0290799	0.0116493	0.00956064	0.0045286	0.00505227	0.00497573	0.000734364	0.00172016	0.000140263	0.00796101	0.0297934	0.0165335	0.0184254	0.00298313	0.00162283	0.00217325	0.000878078	0.00395823	0.00592986	0.0140454	0.0298737	0.00762868	0.987733	0.00042991	6.37683e-05	0.00120969	0.00972433	0.000839035	0.999865	0.999966	1.00003	1.00014	0.970842	0.0192595	0.00173682	0.0081618	0.0003579085	0.5957511
