Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	TL
0	-19586.28	-19623.93	37.65049	0.0206258	0.0201839	0.0173726	0.0216239	0.0111556	0.0106134	0.0102771	0.0124351	0.00914736	0.00254571	0.0136953	0.0178079	0.0204062	0.0243313	0.0117218	0.0251731	0.0193303	0.00847607	0.0100891	0.00554404	0.004086	0.0150885	0.0245872	0.0228605	0.00138888	0.00269761	0.0021429	0.00802049	0.0119795	0.00141234	0.0035084	0.00556153	0.00206859	0.00586901	0.00847958	0.00371002	0.0004303	0.0103305	0.00120633	0.00070428	0.00211761	0.000829643	0.00123072	0.00220375	0.00182908	0.4368989
10	-19592.7	-19630.29	37.59222	0.0177213	0.0193051	0.0137351	0.0228402	0.0116719	0.0106134	0.013172	0.0121586	0.00704479	0.00223664	0.0154678	0.0178079	0.0209442	0.0243313	0.00962239	0.0251731	0.0197679	0.0109227	0.0109145	0.00533931	0.00415136	0.0162887	0.0245217	0.0230883	0.000537929	0.00320441	0.00207476	0.0076881	0.0107978	0.00312913	0.00575203	0.0056487	0.00144235	0.00698392	0.00690563	0.00279318	0.000440257	0.0120839	0.0011296	0.00112521	0.00227234	0.00126055	0.000874391	0.00499546	0.00274588	0.4427258
20	-19587.58	-19625.25	37.67416	0.0208271	0.0185886	0.0142923	0.0230539	0.0132153	0.0106134	0.0140175	0.0132741	0.00845613	0.00399956	0.0131427	0.0151466	0.019667	0.0230486	0.0101174	0.0240758	0.0166406	0.00883787	0.00949306	0.00439576	0.00473399	0.0139093	0.0235218	0.0249623	0.000790017	0.0022852	0.00290575	0.00744211	0.0132208	0.00306356	0.00404045	0.00566678	0.00235154	0.00611163	0.00676505	0.00328536	0.000458274	0.0127416	0.00113629	0.000588624	0.00175718	0.00106712	0.000874391	0.00314203	0.00280714	0.4345315
30	-19578.21	-19616.09	37.87879	0.0199806	0.0183906	0.015125	0.0221357	0.0109035	0.00948886	0.0122343	0.0140822	0.00861261	0.00381338	0.0125322	0.0167246	0.0202141	0.0229429	0.00963192	0.0237483	0.016452	0.00847536	0.00947064	0.00578016	0.0040591	0.0126122	0.0212858	0.0225547	0.00122585	0.00273814	0.00213192	0.00651271	0.00951534	0.0020057	0.00497792	0.00496725	0.000801848	0.00605161	0.0086733	0.0027492	0.000428595	0.0100706	0.00166222	0.000599527	0.00169826	0.00110874	0.00078473	0.0027235	0.00139121	0.414069
40	-19584.74	-19622.38	37.63992	0.0219934	0.0173335	0.0171878	0.0236461	0.0103804	0.00987234	0.0126695	0.0159734	0.0069535	0.00376873	0.0137371	0.0180159	0.0183183	0.0230476	0.0115124	0.0242485	0.0173705	0.00964517	0.0123413	0.00614818	0.00335867	0.0121997	0.023223	0.0224336	0.00183925	0.00224137	0.00326448	0.00895972	0.0101166	0.00218257	0.00560183	0.00437317	0.00122311	0.00815375	0.00816841	0.00279012	0.000660795	0.0109516	0.00103829	0.000740684	0.00263632	0.00100408	0.00095871	0.00323097	0.00244107	0.4379554
50	-19580.51	-19618.29	37.77595	0.0169294	0.0193265	0.0156095	0.0236461	0.0109974	0.0104792	0.0109922	0.0151083	0.00841214	0.0028037	0.015373	0.0175696	0.0222485	0.023508	0.0101814	0.0233834	0.014278	0.0105962	0.00971531	0.00538201	0.0050542	0.0151997	0.0199683	0.0207869	0.000552757	0.00264066	0.00364221	0.00841092	0.0101166	0.00231512	0.00435953	0.00412495	0.00157045	0.00648961	0.00813858	0.00224278	0.000440809	0.0120157	0.000737595	0.000386918	0.0022043	0.000751168	0.000836332	0.00222418	0.00260242	0.4243526
60	-19582.97	-19620.62	37.65915	0.0222105	0.0170138	0.015469	0.0228078	0.012263	0.0102892	0.0119547	0.016657	0.0081168	0.00189525	0.0143268	0.0154351	0.0223137	0.0268262	0.010893	0.022598	0.0191033	0.00867743	0.0100336	0.00505341	0.00410791	0.0170585	0.0221558	0.0221404	0.00118221	0.00317657	0.00324796	0.00715107	0.0102704	0.00219445	0.00464751	0.00549313	0.00150177	0.00651399	0.00813963	0.00185103	0.000705217	0.0106608	0.00094133	0.000678301	0.0015316	0.000751168	0.000889178	0.0026569	0.00244854	0.4360331
70	-19581.89	-19619.65	37.76362	0.0217281	0.017288	0.0142964	0.022761	0.0119905	0.0101123	0.0119774	0.0164113	0.00930471	0.0028285	0.0145717	0.0180912	0.0205143	0.021142	0.00948428	0.0245815	0.0147336	0.00981224	0.0095311	0.00643862	0.00423734	0.0173978	0.0201357	0.0217502	0.0010524	0.00304886	0.00218728	0.00604204	0.0119207	0.00188618	0.00435675	0.00474006	0.00169658	0.00626934	0.00709562	0.00172898	0.000225042	0.0126946	0.000618073	0.000672415	0.00139708	0.00194069	0.000889178	0.00218736	0.00181676	0.4255859
80	-19584.39	-19622.25	37.86288	0.0189879	0.0174226	0.0165304	0.0232511	0.010712	0.00811222	0.0114377	0.0139524	0.00747971	0.00261731	0.0134869	0.0166403	0.0201365	0.0214847	0.00901683	0.0257467	0.0187454	0.0118223	0.00939547	0.00632454	0.00376469	0.0170219	0.0190783	0.0213331	0.00106695	0.00178577	0.00230583	0.00992181	0.0111285	0.00278004	0.00472102	0.00405045	0.00125839	0.00557604	0.00661034	0.00141836	0.000365598	0.00938283	0.000635621	0.000551307	0.00173835	0.000846137	0.000889178	0.00194913	0.00217722	0.4156599
90	-19577.31	-19615.24	37.92424	0.0193294	0.0156063	0.0155547	0.0216808	0.010947	0.00976396	0.011953	0.013407	0.00747971	0.0021252	0.0152264	0.0166403	0.0171802	0.0220645	0.0119202	0.0255314	0.0153382	0.00921446	0.0109459	0.00484705	0.00357929	0.0151255	0.0193883	0.0209659	0.000851076	0.00258547	0.00263435	0.0066593	0.0114214	0.00187786	0.00442463	0.0036619	0.00143742	0.00499505	0.0082767	0.00185593	0.000506267	0.0113364	0.00161811	0.000265649	0.00230632	0.00161229	0.000353071	0.00268422	0.00234574	0.4095239
100	-19582.34	-19620.16	37.82344	0.019682	0.017603	0.0150325	0.0221018	0.0098934	0.00976396	0.0120865	0.0158482	0.00687457	0.0033587	0.0126289	0.0146002	0.0195011	0.022995	0.0109661	0.0233648	0.0166845	0.00968485	0.010033	0.00501346	0.00316687	0.016349	0.0204418	0.0221968	0.000957601	0.00161291	0.00340318	0.00655781	0.0120176	0.00249921	0.00426466	0.00489927	0.00217524	0.00570096	0.00786312	0.003718	0.000858106	0.0117106	0.00136484	0.001526	0.00201445	0.000823083	0.00105311	0.00255026	0.00216332	0.4196042
110	-19585.12	-19623.13	38.01307	0.0187751	0.0154401	0.0192747	0.0222255	0.00993214	0.00899183	0.00863112	0.0130776	0.00866132	0.00284886	0.0138399	0.0164175	0.0181961	0.0197846	0.00960595	0.0203913	0.0157753	0.00812765	0.0106631	0.00536141	0.00421799	0.0145638	0.0208667	0.0202076	0.000625719	0.00307047	0.00308015	0.00648465	0.0114812	0.00150139	0.00446571	0.00482587	0.00137522	0.00686508	0.00857137	0.00147314	0.000357948	0.0110807	0.00055674	0.000690329	0.00242265	0.00151787	0.000406637	0.00249188	0.00141927	0.4006411
120	-19573.44	-19611.47	38.03432	0.018755	0.0160458	0.0142282	0.0197224	0.00890739	0.0102507	0.0123138	0.0131866	0.00760342	0.00319263	0.0138399	0.0156437	0.0184861	0.0213246	0.0108632	0.0234414	0.0168715	0.00738203	0.00886664	0.00529415	0.00333857	0.0136867	0.0209082	0.019727	0.00106815	0.00211969	0.00212795	0.00786232	0.0108488	0.00230955	0.00474975	0.00446423	0.00112608	0.00713407	0.00705112	0.00251423	0.000406795	0.0116791	0.000819075	0.000554432	0.00151334	0.000352974	0.00115528	0.0024854	0.00229362	0.3985156
130	-19574.41	-19612.45	38.04489	0.0177072	0.016731	0.0170992	0.0221928	0.00959484	0.0085992	0.00991744	0.013129	0.00640643	0.00266753	0.0118744	0.0181041	0.0165691	0.0214262	0.00841758	0.0237858	0.01733	0.0098596	0.00973778	0.00590079	0.00396792	0.0149591	0.0202075	0.0207223	0.000657291	0.0019138	0.00224582	0.00653696	0.0110618	0.00188418	0.00390332	0.00418522	0.00186908	0.00627687	0.007129	0.00259758	0.000332914	0.00995455	0.00119447	0.000770328	0.00233209	0.000816667	0.000388365	0.00238743	0.00211424	0.3974588
140	-19574.57	-19612.48	37.91125	0.0187368	0.0178679	0.015206	0.0226873	0.0117755	0.00900397	0.0134955	0.0129809	0.00790701	0.00252219	0.0143941	0.0161745	0.017717	0.0211425	0.0098105	0.0233317	0.0162862	0.00984998	0.00979246	0.00540449	0.00515608	0.0148589	0.0190249	0.0201711	0.00122101	0.0015988	0.00250647	0.00669506	0.0125337	0.00192477	0.00510672	0.00442291	0.00186908	0.00577476	0.00731121	0.00243397	0.000155715	0.0105525	0.00139176	0.000812047	0.00199624	0.00159251	0.000336383	0.00320405	0.00208608	0.4108232
150	-19584.65	-19622.64	37.98758	0.0213612	0.0178207	0.0133954	0.0222973	0.00845567	0.0089391	0.0126647	0.0152661	0.00703703	0.00234944	0.0145003	0.0161745	0.0193769	0.0181817	0.0107944	0.0209945	0.0157688	0.00804812	0.00938767	0.00536769	0.00450653	0.0134713	0.0212464	0.019509	0.00131008	0.00351669	0.00185424	0.00629478	0.0106121	0.00166265	0.00555325	0.00412933	0.00134105	0.00667418	0.00848601	0.00186672	0.000846341	0.0105552	0.000853485	0.00101912	0.00306557	0.000582164	0.000514782	0.00301062	0.00252685	0.4031895
160	-19579.54	-19617.38	37.83692	0.0186891	0.0191731	0.0159536	0.0236695	0.00918966	0.00853927	0.0111139	0.0143846	0.00754529	0.00245018	0.0142938	0.0161745	0.0191328	0.0225807	0.0117475	0.0215251	0.0186519	0.010374	0.00831802	0.00618544	0.00339729	0.014243	0.0216748	0.0221339	0.000399257	0.00262195	0.00221074	0.00866191	0.0121469	0.00142819	0.00464247	0.00452497	0.0027227	0.00721799	0.00670318	0.00127691	0.000643407	0.0111997	0.00128593	0.000265284	0.00236926	0.00103046	0.000531473	0.00314985	0.00208265	0.418256
170	-19581.83	-19619.68	37.85524	0.0230668	0.0177978	0.0148323	0.0239523	0.0099011	0.00846582	0.0141603	0.0128729	0.00730028	0.00185572	0.0129913	0.016566	0.0182237	0.0225807	0.0123491	0.0234352	0.015209	0.00908444	0.00785694	0.00634761	0.00412335	0.0146533	0.0206836	0.0214744	0.00133591	0.00169497	0.00240719	0.00837492	0.0108295	0.00197156	0.00411069	0.00357218	0.00207853	0.00632678	0.00624996	0.00227765	0.00042677	0.013012	0.0013756	0.000426799	0.00268031	0.00109833	0.00109211	0.00313909	0.0021588	0.4164236
180	-19589.73	-19627.54	37.81876	0.0197369	0.0143946	0.0153556	0.0207262	0.00963402	0.0096163	0.011159	0.0133196	0.00831919	0.00310418	0.0155649	0.015414	0.021153	0.0226508	0.0118417	0.0217776	0.0181316	0.00908444	0.0102937	0.00578265	0.00364732	0.015101	0.019522	0.0221548	0.00118421	0.00289706	0.00222448	0.00722292	0.0132552	0.00193373	0.00600541	0.00369794	0.00184111	0.0073039	0.00850674	0.00167054	0.000659036	0.0121361	0.000609004	0.000371665	0.00329388	0.00153474	0.000418632	0.00348624	0.0023336	0.4200714
190	-19576.44	-19614.42	37.97363	0.0179889	0.0169777	0.0157081	0.0228451	0.011667	0.0102365	0.00995282	0.0140821	0.00886188	0.00267529	0.0140958	0.0160618	0.0178126	0.0209933	0.0116305	0.0227861	0.0139993	0.00823732	0.00840875	0.00609951	0.00304456	0.0152955	0.0208199	0.022771	0.000804879	0.00296786	0.00193726	0.00673926	0.0098564	0.00218956	0.00388114	0.00466389	0.00105743	0.00580799	0.00712405	0.00277385	0.000687938	0.0114049	0.000951772	0.000392097	0.00216948	0.000600283	0.000410407	0.00237456	0.00273795	0.4045845
200	-19578.62	-19616.49	37.87091	0.0192786	0.0190501	0.0141462	0.022465	0.0102797	0.00743552	0.0125183	0.0150032	0.00885225	0.00299113	0.0138136	0.015405	0.0190186	0.0220256	0.00928999	0.0230656	0.0165985	0.0102087	0.00916688	0.00556826	0.00357589	0.015238	0.0207616	0.0257712	0.000964951	0.00237129	0.00227276	0.00698928	0.0107977	0.00218956	0.00386574	0.00486215	0.00106737	0.00672273	0.00687211	0.00147239	0.000136216	0.0105632	0.00153338	0.000827648	0.00144932	0.00119148	0.000899177	0.00311094	0.0031699	0.4148569
